+------+-------+-----------------+--------------+
| Year | Month | Monthly Revenue | Order Volume |
+------+-------+-----------------+--------------+
| 2023 |     1 |      125,430.50 |          342 |
| 2023 |     2 |      118,760.25 |          315 |
| 2023 |     3 |      145,620.75 |          387 |
| 2023 |     4 |      132,450.30 |          356 |
| 2023 |     5 |      156,780.90 |          412 |
| 2023 |     6 |      143,210.60 |          398 |
| 2023 |     7 |      167,890.45 |          445 |
| 2023 |     8 |      154,320.80 |          423 |
| 2023 |     9 |      178,650.25 |          467 |
| 2023 |    10 |      165,430.70 |          452 |
| 2023 |    11 |      189,760.90 |          498 |
| 2023 |    12 |      210,450.60 |          543 |
+------+-------+-----------------+--------------+
